season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_suffix,leader_time,leader_season_avg,leader_team_avg,play_actual_yards_to_go,play_actual_yardline_for_first_down
2018,POST,fastest_ball_carriers,1,2019010501,57824,1774,1774,(1:11) E.Elliott right end ran ob at SEA 22 for 44 yards (J.Coleman).,2,play_type_rush,2,3,1,1200,01:11,DAL 34,34,DAL,44,2019-01-06T02:35:49.000Z,false,false,false,false,false,false,3,6,right,APPROVED,3,6,true,true,true,Ezekiel Elliott,Ezekiel,Elliott,E.Elliott,00-0033045,ELL289284,1200,DAL,21,RB,RB,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/d4yr6htg4dbs0bgcfqnd,21.27272732,60.03999999999999,44,,,,,0.91,44.45
2018,POST,fastest_ball_carriers,2,2019011201,57828,531,531,"(6:10) (Shotgun) D.Prescott pass short middle to A.Cooper for 29 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,1200,06:10,LA 29,29,LA,81,2019-01-13T01:32:54.000Z,false,false,true,false,false,false,3,6,right,APPROVED,3,0,true,true,true,Amari Cooper,Amari,Cooper,A.Cooper,00-0031544,COO487703,1200,DAL,19,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zmtzqznqui37unmo5xv9,20.454545500000002,49.220000000000006,29,,,,,10.0,90.63
2018,POST,fastest_ball_carriers,3,2019011301,57830,2504,2504,"(13:22) C.Johnston punts 54 yards to NO 15, Center-R.Lovato. T.Lewis pushed ob at NO 30 for 15 yards (N.Gerry). PENALTY on NO-Z.Line, Offensive Holding, 7 yards, enforced at NO 15.",2,play_type_punt,3,4,4,3700,13:22,PHI 31,31,PHI,41,2019-01-13T23:30:35.000Z,true,true,false,false,false,true,10,14,right,APPROVED,10,14,false,true,true,Tommylee Lewis,Tommylee,Lewis,T.Lewis,00-0032881,LEW746431,3300,NO,11,WR,WR,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/qvf3ud6rgqusejdd4f5u,20.168181863,63.83999999999998,0,,,,,4.25,44.44
2018,POST,fastest_ball_carriers,4,2019011200,57827,127,127,"(13:22) R.Sanchez punts 53 yards to KC 20, Center-L.Rhodes. T.Hill pushed ob at KC 46 for 26 yards (N.Goode). PENALTY on KC-Tr. Smith, Offensive Holding, 10 yards, enforced at KC 20.",2,play_type_punt,1,4,3,2200,13:22,IND 27,27,IND,83,2019-01-12T21:38:42.000Z,true,true,false,false,false,true,0,0,left,APPROVED,0,0,false,true,true,Tyreek Hill,Tyreek,Hill,T.Hill,00-0033040,HIL628694,2310,KC,10,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gg73gnfivrn80oyqwazl,20.168181863,68.87000000000002,0,,,,,3.27,80.21
2018,POST,fastest_ball_carriers,5,2019012001,57832,3282,3282,"(7:52) (Shotgun) P.Mahomes pass short left to Dam. Williams for 23 yards, TOUCHDOWN.",2,play_type_pass,4,2,10,2310,07:52,NE 23,23,NE,33,2019-01-21T02:13:46.000Z,false,false,true,false,false,false,20,17,left,APPROVED,14,17,true,true,true,Damien Williams,Damien,Williams,Dam. Williams,00-0030874,WIL206455,2310,KC,26,RB,RB,20,https://static.www.nfl.com/image/private/{formatInstructions}/league/ga4vusnfwfvhp2ksqw7x,20.1068182265,49.47999999999999,23,,,,,10.19,23.33
2018,POST,fastest_sacks,1,2019011200,57827,3160,3160,"(:55) (Shotgun) A.Luck sacked at KC 29 for -9 yards (D.Ford). FUMBLES (D.Ford), touched at KC 29, RECOVERED by KC-J.Houston at KC 32. J.Houston to KC 32 for no gain (A.Luck).",2,play_type_sack,3,2,10,2200,00:55,KC 20,20,KC,90,2019-01-12T23:53:10.000Z,false,false,false,false,false,true,24,7,right,APPROVED,24,7,false,true,true,Dee Ford,Donald,Ford,D.Ford,00-0031297,FOR113166,2310,KC,55,DE,DL,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/wn2xowqkaphzrq6bkqk9,,,,,2.536,2.536,4.763,10.48,99.67
2018,POST,fastest_sacks,2,2019010600,57825,4477,4477,"(:28) (Shotgun) L.Jackson sacked at BLT 38 for -9 yards (U.Nwosu). FUMBLES (U.Nwosu), RECOVERED by LAC-M.Ingram at BLT 29. M.Ingram to BLT 29 for no gain (M.Yanda).",2,play_type_sack,4,2,10,0325,00:28,BAL 47,47,BAL,57,2019-01-06T21:20:41.000Z,false,false,false,false,false,true,17,23,right,APPROVED,17,23,false,true,true,Uchenna Nwosu,Uchenna,Nwosu,U.Nwosu,00-0034350,NWO593274,4400,LAC,42,LB,LB,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/eovri4ccfixdbtikxbyg,,,,,2.57,2.57,4.277857142857143,10.39,66.79
2018,POST,fastest_sacks,3,2019010500,57823,2876,2876,(5:19) (Shotgun) D.Watson sacked at HST 44 for -9 yards (K.Moore II).,2,play_type_sack,3,3,15,2120,05:19,IND 47,47,IND,63,2019-01-05T23:42:28.000Z,false,false,false,false,false,false,0,21,right,APPROVED,0,21,false,true,true,Kenny Moore,Kenny,Moore,K.Moore II,00-0033393,MOO465364,2200,IND,23,CB,DB,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/ji3hdoi86xonnhxlr6gl,,,,,2.636,3.6410000000000005,4.155375,15.91,77.59
2018,POST,fastest_sacks,4,2019010501,57824,839,839,(:52) (Shotgun) R.Wilson sacked at SEA 24 for -7 yards (M.Collins).,2,play_type_sack,1,3,6,4600,00:52,SEA 31,31,SEA,41,2019-01-06T01:57:26.000Z,false,false,false,false,false,false,3,0,right,APPROVED,3,0,false,true,true,Maliek Collins,Maliek,Collins,M.Collins,00-0033131,COL633184,1200,DAL,96,DT,DL,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tjyv74ytq62fprrfnjrv,,,,,2.838,2.838,2.838,6.49,46.22
2018,POST,fastest_sacks,5,2019011301,57830,929,929,"(:48) (Shotgun) D.Brees sacked at NO 37 for -8 yards (B.Graham). FUMBLES (B.Graham), RECOVERED by PHI-B.Graham at NO 35. B.Graham to NO 34 for 1 yard (T.Armstead). FUMBLES (T.Armstead), RECOVERED by NO-R.Ramczyk at NO 31. The Replay Official reviewed the loose ball recovery ruling, and the play was REVERSED. (Shotgun) D.Brees sacked at NO 37 for -8 yards (B.Graham). FUMBLES (B.Graham), touched at NO 35, recovered by NO-R.Ramczyk at NO 31.",2,play_type_sack,1,3,8,3300,00:48,NO 45,45,NO,55,2019-01-13T22:16:01.000Z,false,false,false,false,false,false,0,14,right,APPROVED,0,14,false,true,true,Brandon Graham,Brandon,Graham,B.Graham,00-0027865,GRA130064,3700,PHI,55,DE,DL,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/e6iqegrredwqev7qx81m,,,,,2.903,3.5380000000000003,4.006166666666666,8.54,62.71
