season,team_id,abbr,city_state,full_name,nick,team_type,conference_abbr,division_abbr,stadium_name,conference_id,conference_full_name,division_id,division_full_name,year_found,ticket_phone_number,team_site_url,team_site_ticket_url,logo
2014,0200,ATL,Atlanta,Atlanta Falcons,Falcons,TEAM,NFC,NCS,Georgia Dome,0015,National Football Conference,0020,NFC South Division,1966,404-223-8444,http://www.atlantafalcons.com/,http://www.atlantafalcons.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/d8m7hzpsbrl6pnqht8op
2014,0325,BAL,Baltimore,Baltimore Ravens,Ravens,TEAM,AFC,ACN,M&T Bank Stadium,0011,American Football Conference,0013,AFC North Division,1996,410-261-RAVE (7283),http://www.baltimoreravens.com/,http://www.baltimoreravens.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/ucsdijmddsqcj1i9tddd
2014,0610,BUF,Buffalo,Buffalo Bills,Bills,TEAM,AFC,ACE,Ralph Wilson Stadium,0011,American Football Conference,0012,AFC Eastern Division,1960,877-BB-TICKS,http://www.buffalobills.com/,http://www.buffalobills.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/giphcy6ie9mxbnldntsf
2014,0750,CAR,Carolina,Carolina Panthers,Panthers,TEAM,NFC,NCS,Bank of America Stadium,0015,National Football Conference,0020,NFC South Division,1995,800-745-3000,http://www.panthers.com/,http://www.panthers.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/ervfzgrqdpnc7lh5gqwq
2014,0810,CHI,Chicago,Chicago Bears,Bears,TEAM,NFC,NCN,Soldier Field,0015,National Football Conference,0017,NFC North Division,1920,888-79-BEARS,http://www.chicagobears.com/,http://www.chicagobears.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/ra0poq2ivwyahbaq86d2
2014,0920,CIN,Cincinnati,Cincinnati Bengals,Bengals,TEAM,AFC,ACN,Paul Brown Stadium,0011,American Football Conference,0013,AFC North Division,1968,866-621-TDTD (8383),http://www.bengals.com/,http://www.bengals.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/okxpteoliyayufypqalq
2014,1050,CLE,Cleveland,Cleveland Browns,Browns,TEAM,AFC,ACN,FirstEnergy Stadium,0011,American Football Conference,0013,AFC North Division,1946,440-824-3434,http://www.clevelandbrowns.com/,http://www.clevelandbrowns.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/grxy59mqoflnksp2kocc
2014,1200,DAL,Dallas,Dallas Cowboys,Cowboys,TEAM,NFC,NCE,AT&T Stadium,0015,National Football Conference,0016,NFC Eastern Division,1960,817-892-5000,http://www.dallascowboys.com/,http://www.dallascowboys.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/ieid8hoygzdlmzo0tnf6
2014,1400,DEN,Denver,Denver Broncos,Broncos,TEAM,AFC,ACW,Sports Authority Field at Mile High,0011,American Football Conference,0014,AFC Western Division,1960,720-258-3333,http://www.denverbroncos.com/,http://www.denverbroncos.com/ticketOffice,https://static.www.nfl.com/image/private/{formatInstructions}/league/t0p7m5cjdjy18rnzzqbx
2014,1540,DET,Detroit,Detroit Lions,Lions,TEAM,NFC,NCN,Ford Field,0015,National Football Conference,0017,NFC North Division,1930,313-262-2011,http://www.detroitlions.com/,http://www.detroitlions.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/ocvxwnapdvwevupe4tpr
